location_name,full_address,zipcode,serves,site_type,days_of_week_open,url,phone,email,appointment_info,instructions_at_site,accessibility,latitude,longitude,location_type,vaccines_available
Amesbury: CVS (Macy Street),"5 Macy Street, Amesbury, MA 01913",1913,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.84746,-70.929259,#blue-star,Moderna
Amesbury: Stop & Shop,"100 Macy Street, Amesbury, MA 01913",1913,All eligible people statewide,Indoor,Daily,https://www.stopandshop.com/covid-vaccine,978-388-9755,,,,,42.84644,-70.911505,#blue-star,Pfizer
Amesbury: Walgreens (Haverhill Road),"15 Haverhill Road, Amesbury, MA 01913",1913,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.845464,-70.935824,#blue-star,Moderna
Amherst: CVS (North Pleasant Street),"76 North Pleasant Street, Amherst, MA 01002",1002,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.376888,-72.519904,#blue-star,Moderna
Amherst: CVS (University Drive),"165 University Drive, Amherst, MA 01002",1002,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.368585,-72.533467,#blue-star,Moderna
Amherst: UMass Amherst Campus Center,"1 Campus Center Way, Amherst, MA 01003",1003,Eligible people in Western MA,Indoor,"Monday, Tuesday, Wednesday, Thursday",https://www.umass.edu/coronavirus/vaccine,,,,"The clinics are held in the lower level of the Campus Center room 168; park in the parking garage, and proceed to the lower level via elevator, escalator, or stairs. A free parking pass will be provided.",,42.39182,-72.528442,#green-star,"Moderna, Pfizer"
Andover: CVS (Main Street),"68 Main Street, Andover, MA 01810",1810,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.655045,-71.13953,#blue-star,Pfizer
Arlington: CVS (23-25 Massachusetts Ave),"23-25 Massachusetts Ave, Arlington, MA 02474",2474,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.401571,-71.137019,#blue-star,Moderna
Arlington: CVS (833 Massachusetts Ave.),"833 Massachusetts Avenue, Arlington, MA 02476",2476,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.41679,-71.160556,#blue-star,Pfizer
Arlington: Stop & Shop (Massachusetts Avenue),"905 Massachusetts Avenue, Arlington, MA 02476",2476,All eligible people statewide,Indoor,Daily,https://www.stopandshop.com/covid-vaccine,781-643-3267,,,,,42.417975,-71.165138,#blue-star,Johnson and Johnson
Arlington: Walgreens (1425 Massachusetts Ave),"1425 Massachusetts Ave, Arlington, MA 02476",2476,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.424801,-71.186623,#blue-star,Pfizer
Arlington: Walgreens (324 Massachusetts Ave),"324 Massachusetts Ave, Arlington, MA 02474",2474,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.410226,-71.147614,#blue-star,Pfizer
Ashland: CVS (Pond St.),"47 Pond St, Ashland, MA 01721",1721,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.25683,-71.426276,#blue-star,Pfizer
Ashland: CVS (Union St.),"414 Union St., Ashland, MA 01721",1721,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.255524,-71.466266,#blue-star,Moderna
Ashland: Walgreens (Pond Street),"339 Pond Street, Ashland, MA 01721",1721,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.239455,-71.432484,#blue-star,Pfizer
Ashland: Walgreens (Union Street),"399 Union Street, Ashland, MA 01721",1721,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.255597,-71.466312,#blue-star,Pfizer
Athol: CVS (Main St.),"1653 Main St., Athol, MA 01331",1331,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.588127,-72.214896,#blue-star,Pfizer
Athol: Walgreens (S Main St),"1640 S Main St, Athol, MA 01331",1331,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.583096,-72.261693,#blue-star,Pfizer
Attleboro: CVS (N. Main St.),"191 N. Main St., Attleboro, MA 02703",2703,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,41.949109,-71.289473,#blue-star,Pfizer
Attleboro: CVS (Pleasant Street),"486 Pleasant Street, Attleboro, MA 02703",2703,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,41.951925,-71.271235,#blue-star,Moderna
Attleboro: LaSalette Shrine (Attleboro Health Dept.),"947 Park St, Attleboro, MA 02703",2703,All eligible people statewide,Indoor,Will vary,https://home.color.com/vaccine/register/attleboro,,,,,Fully wheelchair accessible,41.9297,-71.260537,#green-star,Moderna
Attleboro: Walgreens (Pleasant St.),"196 Pleasant St., Attleboro, MA 02703",2703,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,41.950943,-71.273538,#blue-star,Pfizer
Attleborough: Stop & Shop (Pleasant Street),"469 Pleasant St, Attleborough, MA 02703",2703,All eligible people statewide,Indoor,Daily,https://www.stopandshop.com/covid-vaccine,508-226-5888,,,,,41.95154,-71.272044,#blue-star,Johnson and Johnson
Auburn: Auburn Pharmacy & Home Health Care,"689 Southbridge St, Auburn, MA 01501",1501,All eligible people statewide,Indoor,Monday-Friday,https://www.healthmartcovidvaccine.com,508-832-6511,,,,,42.184314,-71.857823,#blue-star,Moderna
Auburn: CVS (Southbridge Street),"676 Southbridge Street, Auburn, MA 01501",1501,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.184789,-71.857096,#blue-star,Moderna
Avon: Costco (Stockwell Dr),"120 Stockwell Drive, Avon, MA 02322",2322,All eligible people statewide,Indoor,Vary--check link,https://www.costco.com/covid-vaccine.html,508-232-4003,,,Please use the online scheduling system to book an appointment. Please do not contact the local Costco pharmacy as they are unable to schedule an appointment or provide current eligibility requirements.,,42.13506,-71.067742,#blue-star,Moderna
Avon: Walmart (Memorial Dr),"30 Memorial Dr, Avon, MA 02322",2322,All eligible people statewide,Indoor,Daily,https://www.walmart.com/pharmacy/,508-427-9460,,,,,42.12085,-71.032487,#blue-star,"Moderna, Pfizer"
Ayer: Ayer Family Pharmacy,"13 Park Street, Ayer, MA 01432",1432,All eligible people statewide,Indoor,Daily,,978-391-4061,,,,,42.561371,-71.590402,#blue-star,Moderna
Barnstable: Barnstable County Dept. of Health & Environment,"3195 Main Street, Barnstable, MA 02630",2630,All eligible people statewide,Indoor,Thursday,https://home.color.com/vaccine/register/barnstable,,,Thursdays 10am-2pm,Parking in front of the Harborview Conference room,"Wheelchair entrance, accessible parking, can vaccinate in the car if unable to come in",41.701393,-70.30302,#green-star,"Johnson and Johnson, Pfizer"
Barre: Barre Family Pharmacy,"547 Summer Street, Barre, MA 01005",1005,All eligible people statewide,Indoor,Monday-Friday,https://www.healthmartcovidvaccine.com,978-355-2359,,,,,42.410225,-72.097923,#blue-star,Moderna
Bedford: CVS (Great Road),"199 Great Road, Bedford, MA 01730",1730,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.489259,-71.272125,#blue-star,Moderna
Bedford: Stop & Shop (Great Road),"337 Great Road, Bedford, MA 01730",1730,All eligible people statewide,Indoor,Daily,https://www.stopandshop.com/covid-vaccine,781-271-9403,,,,,42.486688,-71.263102,#blue-star,Pfizer
Belchertown: CVS (N Main St),"151 N Main St, Crystal Springs Plaza, Belchertown, MA 01007",1007,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.274169,-72.404898,#blue-star,Moderna
Belchertown: Stop & Shop (Federal Street),"40 Federal Street, Belchertown, MA 01007",1007,All eligible people statewide,Indoor,Daily,https://www.stopandshop.com/covid-vaccine,413-323-9096,,,,,42.291405,-72.409258,#blue-star,Moderna
Bellingham: CVS (Pulaski Blvd),"370 Pulaski Blvd, Bellingham, MA 02019",2019,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.025229,-71.490133,#blue-star,Pfizer
Bellingham: Walgreens (Mechanic St),"20 Mechanic St, Bellingham, MA 02019",2019,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.086247,-71.473803,#blue-star,Moderna
Bellingham: Walmart (Hartford Ave),"250 Hartford Ave, Bellingham, MA 02019",2019,All eligible people statewide,Indoor,Daily,https://www.walmart.com/pharmacy/,508-966-7633,,,,,42.114287,-71.465101,#blue-star,"Moderna, Pfizer"
Belmont: CVS (Leonard Street),"60 Leonard Street, Belmont, MA 02478",2478,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.39751,-71.175376,#blue-star,Moderna
Belmont: CVS (Trapelo Rd),"264 Trapelo Rd, Belmont, MA 02478",2478,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.383289,-71.180992,#blue-star,Pfizer
Belmont: Osco (Trapelo Rd),"535 Trapelo Road, Belmont, MA 02478",2478,All eligible people statewide,Indoor,Daily,https://www.mhealthappointments.com/covidappt,617-489-6542,,,,,42.388089,-71.191369,#blue-star,"Johnson and Johnson, Moderna, Pfizer"
Beverly: CVS (Dodge Street),"19 Dodge St., Beverly, MA 01915",1915,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.577465,-70.89003,#blue-star,Moderna
Beverly: CVS (Rantoul St.),"434 Rantoul St., Beverly, MA 01915",1915,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.554996,-70.881408,#blue-star,Pfizer
Beverly: Pediatric Associates of Greater Salem,"30 Tozer Rd, Beverly, MA 01915",1915,All eligible people statewide,Indoor,"Monday, Tuesday, Saturday, Sunday",https://bit.ly/2MyMFAJ,,,Online booking only,Enter through rear of the building and follow signage,,42.572764,-70.884053,#green-star,"Moderna, Pfizer"
Beverly: Walgreens (Elliott St),"54 Elliott St, Beverly, MA 01915",1915,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.554414,-70.881284,#blue-star,Pfizer
"Billerica: CVS (Boston Rd, RT 3A Towne Plaza)","700 Boston Rd. RT 3A, Billerica, MA 01821",1821,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.549775,-71.25068,#blue-star,Moderna
Billerica: Walgreens (466 Boston Rd),"446 Boston Rd, Billerica, MA 01821",1821,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.55851,-71.268651,#blue-star,Moderna
Billerica: Walgreens (467 Boston Rd),"467 Boston Rd., Billerica, MA 01821",1821,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.552527,-71.26394,#blue-star,Moderna
Blackstone: CVS (Main St),"22 Main Street, Blackstone, MA 01504",1504,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,,,42.016646,-71.52931,#blue-star,Pfizer
Boston: Boston Medical Center,"85 E Concord St, Boston, MA 02118",2118,All eligible people statewide,Indoor,Please click link to see availability,https://www.bmc.org/covid-19-vaccine-locations,,,,Please arrive with appointment information to check in.,"Wheelchair available on site. Accessible entrance, parking, dropoff, pickup. Translation services available.",42.335559,-71.072161,#green-star,Moderna
Boston: Brookside Community Health Center,"3297 Washington St, Jamaica Plain, MA 02130",2130,All eligible people statewide,Outdoor,Tuesday,,,,Walk-In,"Vaccine clinic is held in parking lot under tents. No appointment, ID, or insurance needed.","Accessible entrance, wheelchair entrance, accessible parking, accessible drop off and pick up, close to bus and train",42.310679,-71.103335,#green-star,"Johnson and Johnson, Pfizer"
Boston: Community Care Pharmacy Inc,"2100 Dorchester Avenue, Boston, MA 02124",2124,All eligible people statewide,Indoor,Monday-Friday,https://hipaa.jotform.com/210954494190156,617-322-9265,,,,,42.278108,-71.066442,#blue-star,Moderna
Boston: CVS (1249 Boylston Street),"1249 Boylston St., Boston, MA 02215",2215,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.345147,-71.095662,#blue-star,Moderna
Boston: CVS (1341 Boylston Street),"1341 Boylston St, Boston, MA 02215",2215,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.344089,-71.099557,#blue-star,Moderna
Boston: CVS (155-157 Charles Street),"155-157 Charles Street, Boston, MA 02114",2114,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.360592,-71.070855,#blue-star,Moderna
Boston: CVS (191-193 Cambridge Street),"191-193 Cambridge Street, Boston, MA 02114",2114,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.361219,-71.06591,#blue-star,Moderna
Boston: CVS (1921-1943 Centre Street),"1921-1943 Centre Street, Boston, MA 02132",2132,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.284421,-71.156775,#blue-star,Moderna
Boston: CVS (2 Center Plaza),"2 Center Plaza, Boston, MA 02108",2108,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.359805,-71.060626,#blue-star,Moderna
Boston: CVS (218 Hanover St.),"218 Hanover St., Boston, MA 02113",2113,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.362952,-71.055302,#blue-star,Pfizer
Boston: CVS (231 Massachusetts Ave),"231 Massachusetts Avenue, Boston, MA 02115",2115,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.344697,-71.086469,#blue-star,Moderna
Boston: CVS (240 Newbury Street),"240 Newbury Street, Boston, MA 02116",2116,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.349744,-71.08195,#blue-star,Moderna
Boston: CVS (333 Washington Street),"333 Washington Street, Boston, MA 02108",2108,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.356815,-71.05894,#blue-star,Moderna
Boston: CVS (341 Harrison Ave),"341 Harrison Ave, Boston, MA 02118",2118,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.345466,-71.063618,#blue-star,Moderna
Boston: CVS (350 Longwood Ave),"350 Longwood Ave., Boston, MA 02115",2115,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.338585,-71.106682,#blue-star,Moderna
Boston: CVS (423 West Broadway),"423 West Broadway, Boston, MA 02127",2127,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.336688,-71.047555,#blue-star,Moderna
Boston: CVS (55 Summer St),"55 Summer St, Boston, MA 02110",2110,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.354439,-71.059103,#blue-star,Moderna
Boston: CVS (587 Boylston Street),"587 Boylston Street, Boston, MA 02116",2116,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.350222,-71.07684,#blue-star,Moderna
Boston: CVS (631 Washington Street),"631 Washington St, Boston, MA 02111",2111,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.352624,-71.062577,#blue-star,Moderna
Boston: CVS (7 Allstate Rd),"7 Allstate Rd, Boston, MA 02125",2125,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.328857,-71.062753,#blue-star,Moderna
Boston: CVS (700 Atlantic Ave),"700 Atlantic Ave, Boston, MA 02111",2111,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.350723,-71.056408,#blue-star,Moderna
Boston: CVS (800 Boylston Street),"800 Boylston Street, Boston, MA 02199",2199,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.348899,-71.081821,#blue-star,Moderna
Boston: CVS (85 Seaport Blvd),"85 Seaport Blvd Unit H, Boston, MA 02210",2210,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.351924,-71.045973,#blue-star,Moderna
Boston: CVS (874 Harrison Ave),"874 Harrison Ave, Boston, MA 02118",2118,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.33396,-71.076482,#blue-star,Moderna
Boston: CVS (Canal St),"101 Canal Street, Suite A, Boston, MA 02114",2114,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,,,42.364561,-71.06015,#blue-star,Johnson and Johnson
Boston: CVS (Columbus Ave.),"285 Columbus Ave., Boston, MA 02116",2116,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,,,42.347056,-71.0738,#blue-star,Pfizer
Boston: CVS (Commonwealth Ave),"900 Commonwealth Avenue, Boston, MA 02215",2215,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,,,42.351058,-71.116113,#blue-star,Pfizer
Boston: CVS (Dorchester Avenue),"2235 Dorchester Avenue, Boston, MA 02124",2124,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.273948,-71.067615,#blue-star,Pfizer
Boston: CVS (Tremont St),"400 Tremont St, Boston, MA 02116",2116,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,,,42.347291,-71.068741,#blue-star,Pfizer
Boston: Dimock Vaccine Clinic at Bethel AME Church Sanctuary,"40 Walk Hill St, Boston, MA 02130",2130,All eligible people statewide,Indoor,,,617-602-5568,,Walk-ins are welcome. No appointments required.,"Dimock will be holding a COVID-19 Vaccine Clinic at Bethel AME Church Sanctuary from June 8, 2021 - August 31, 2021. Join us Tuesdays from 2-6pm and Saturdays from 9am-3pm, except Saturday, July 3rd. Free parking is available.",,42.294192,-71.114761,#green-star,Moderna
Boston: East Boston Neighborhood Health Center,"120 Liverpool Street, Boston, MA 02128",2128,All eligible people statewide,Indoor,Monday-Saturday,https://bit.ly/EBNHCvax,,,,"This site accepts walk-ins. Note: This vaccination location will be closing on Saturday, June 26.","Accessible entrance, Wheelchair entrance, Wheelchair provided on-site, Accessible drop off and pick up",42.372854,-71.040411,#green-star,"Johnson and Johnson, Pfizer"
Boston: Fenway Health Ansin Building,"1340 Boylston Street, Boston, MA 02215",2215,All eligible people statewide,Indoor,Monday-Saturday,https://www.fenwayhealth.org/appointments,,,,Appointments for all eligible people 18 and older. This site is accessible by public transportation and by car. The Green Line D Branch Fenway stop is a five minute walk and the Green Line Kenmore Square stop is a 15 minute walk. The 55 Bus stops one block away. The Orange Line’s Ruggles T stop is a 20 minute walk. There is meter and garage parking in the neighborhood.,Accessible to those in wheelchairs or with mobility impairments. We use interpreter iPads for ASL and foreign language interpretation during vaccine appointments.,42.344367,-71.098526,#green-star,Moderna
Boston: Fenway South End,"142 Berkeley Street, 2nd floor, Boston, MA 02116",2116,All eligible people statewide,Indoor,Monday-Friday,https://www.fenwayhealth.org/appointments,,,,Appointments for all eligible people 18 and older. The vaccination clinic is on the building’s 2nd floor. 142 Berkeley Street is accessible by public transportation and by car. We are a 5 minute walk from the Orange Line’s Back Bay T station and a 15 minute walk from the Copley Square or Arlington T stops on the Green Line. There is meter and garage parking in the neighborhood.,Accessible to those in wheelchairs or with mobility impairments. We use interpreter iPads for ASL and foreign language interpretation during vaccine appointments.,42.348887,-71.071884,#green-star,Moderna
Boston: Galaxy Pharmacy - South Boston,"534 Dorchester Ave, Boston, MA 02127",2127,All eligible people statewide,Indoor,Monday-Friday,https://scrcxp.pdhi.com/Portal/Member/d1e1f5d5-007f-4167-b8d1-1ea83cb3b215/?qitq=f584cfe1-27e8-4347-b049-2ed531d4acb5&qitp=fd199449-959f-452c-b9cc-50937d90dae8&qitts=1619573909&qitc=pdhi&qite=covid19vaccination&qitrt=Safetynet&qith=1b8efd747360b68926e2973209a10bb4,617-268-0800,,,,,42.331075,-71.056971,#blue-star,Moderna
Boston: Gary Drug Company,"59 Charles Street, Boston, MA 02114",2114,All eligible people statewide,Indoor,Will vary,https://www.garydrug.com/,,,,,,42.357694,-71.070238,#blue-star,"Johnson and Johnson, Moderna"
Boston: Osco (Causeway St.),"90 Causeway St, Boston, MA 02114",2114,All eligible people statewide,Indoor,Daily,https://www.mhealthappointments.com/covidappt,857-409-3410,,,,,42.365621,-71.061076,#blue-star,"Johnson and Johnson, Moderna, Pfizer"
Boston: Osco (Commonwealth Ave.),"1065 Commonwealth Ave., Boston, MA 02215",2215,All eligible people statewide,Indoor,Daily,https://www.mhealthappointments.com/covidappt,617-782-4585,,,,,42.352124,-71.123449,#blue-star,"Johnson and Johnson, Moderna, Pfizer"
